,Country,Ophthalmo.,Optometrists,Opticians,Total,"Optometry 
School","Optician
School",NB per year,"By
Ophthalmo.","By
Optometrists","By
Opticians",Total.1,Lens,Frame,Code
0,France,5850.0,0.0,40783.0,46633.0,3,90,14000.0,90.0,0.0,10.0,100.0,20.0,20.0,FRA
1,Germany,7300.0,7900.0,37900.0,53100.0,5,20,12500.0,14.000000000000002,0.0,86.0,100.0,19.0,19.0,DEU
2,Italy,7200.0,4500.0,15000.0,26700.0,15,50,4000.0,50.0,25.0,25.0,100.0,4.0,22.0,ITA
3,Spain,5500.0,18300.0,0.0,23800.0,14,0,7000.0,27.0,26.0,47.0,100.0,10.0,10.0,ESP
4,United Kingdom,750.0,16500.0,6631.0,23881.0,15,3,21200.0,1.0,99.0,0.0,100.0,20.0,20.0,GBR
5,Austria,725.0,79.0,3795.0,4599.0,2,4,1015.0,42.0,8.000000000000002,50.0,100.0,16.8,16.8,AUT
6,Belgium,1050.0,300.0,3000.0,4350.0,7,13,1500.0,67.0,0.0,33.0,100.0,21.0,21.0,BEL
7,Denmark,300.0,3095.0,0.0,3395.0,2,0,1633.0,0.0,100.0,0.0,100.0,25.0,0.0,DNK
8,Finland,460.0,1620.0,0.0,2080.0,2,0,1720.0,38.0,54.0,8.0,100.0,20.0,20.0,FIN
9,Ireland,120.0,656.0,118.0,894.0,1,1,1300.0,1.0,99.0,0.0,100.0,23.0,23.0,IRL
10,Netherlands,637.0,1100.0,7500.0,9237.0,1,7,4350.0,1.0,34.0,65.0,100.0,21.0,21.0,NLD
11,Norway,749.7099999999999,1529.85,0.0,2279.56,1,0,910.0,5.0,95.0,0.0,100.0,25.0,25.0,NOR
12,Portugal,1170.0,2030.0,4250.0,7450.0,4,5,1800.0,53.0,47.0,0.0,100.0,6.0,23.0,PRT
13,Sweden,710.0,2654.295,0.0,3364.295,2,0,1629.0,2.0,98.0,0.0,100.0,25.0,25.0,SWE
14,Switzerland,750.0,1000.0,3000.0,4750.0,1,2,2270.0,25.0,65.0,10.0,100.0,7.7,7.7,CHE
15,Bulgaria,900.0,260.0,2350.0,3510.0,2,3,1650.0,70.0,20.000000000000007,10.0,100.0,20.0,20.0,BGR
16,Croatia,400.0,220.0,400.0,1020.0,1,1,495.0,70.0,20.000000000000007,10.0,100.0,5.0,25.0,HRV
17,Czech Republic,1120.0,1130.0,2000.0,4250.0,3,4,3200.0,60.0,40.0,0.0,100.0,15.0,21.0,CZE
18,Hungary,700.0,650.0,2800.0,4150.0,1,1,1000.0,16.0,84.0,0.0,100.0,27.0,27.0,HUN
19,Poland,4800.0,1450.0,13500.0,19750.0,6,10,9057.68,71.0,25.0,4.0,100.0,3.0,23.0,POL
20,Romania,1300.0,750.0,2800.0,4850.0,3,3,5300.0,80.0,16.999999999999993,3.0,100.0,9.0,9.0,ROU
21,Slovakia,450.0,250.0,500.0,1200.0,1,2,2500.0,66.0,31.999999999999996,2.0,100.0,10.0,20.0,SVK
22,Slovenia,200.0,100.0,200.0,500.0,0,1,200.0,70.0,20.000000000000007,10.0,100.0,9.5,22.0,SVN
23,Morocco,1000.0,0.0,10600.0,11600.0,0,30,3200.0,50.0,0.0,50.0,100.0,20.0,20.0,MAR
24,Russia,8000.0,3000.0,12200.0,23200.0,2,2,15000.0,35.0,65.0,0.0,100.0,0.0,0.0,RUS
25,Saudi Arabia,850.0,2000.0,2000.0,4850.0,3,0,2250.0,10.0,85.0,5.0,100.0,0.0,15.0,SAU
26,South Africa,771.0,4827.0,246.0,5844.0,4,1,3600.0,5.0,95.0,0.0,100.0,15.0,15.0,ZAF
27,Tunisia,500.0,0.0,1100.0,1600.0,0,4,0.0,0.0,100.0,0.0,100.0,0.0,0.0,TUN
28,Turkey,4850.0,0.0,18000.0,22850.0,0,80,12450.0,100.0,0.0,0.0,100.0,8.0,8.0,TUR
29,United Arab Emirates,320.0,1250.0,1600.0,3170.0,0,0,1250.0,9.0,91.0,0.0,100.0,5.0,5.0,ARE
30,Canada,1273.0,6366.0,6900.0,14539.0,2,10,9631.0,10.0,90.0,0.0,100.0,14.975,14.975,CAN
31,United States,18948.0,41400.0,74800.0,135148.0,24,0,124167.0,15.0,85.0,0.0,100.0,0.0,0.0,USA
32,Brazil,21361.0,10000.0,15000.0,46361.0,9,9,22877.631,100.0,0.0,0.0,100.0,0.0,0.0,BRA
33,Argentina,5350.0,725.0,4800.0,10875.0,2,11,7500.0,100.0,0.0,0.0,100.0,21.0,21.0,ARG
34,Chile,1140.0,650.0,1100.0,2890.0,1,1,2671.0,60.0,40.0,0.0,100.0,0.0,0.0,CHL
35,Colombia,1780.0,6380.0,500.0,8660.0,9,0,5520.0,21.0,78.97000000000001,0.03,100.00000000000001,20.0,19.0,COL
36,Mexico,4431.0,4158.0,19000.0,27589.0,15,12,20000.0,15.0,35.0,50.0,100.0,16.0,16.0,MEX
37,China,47500.0,30000.0,290000.0,367500.0,29,118,105000.0,15.0,80.0,5.0,100.0,13.0,13.0,CHN
38,Hong Kong,332.0,2243.0,1608.6,4183.6,1,1,1080.0,1.0,99.0,0.0,100.0,0.0,0.0,HKG
39,Taiwan,2062.0,15464.0,4536.0,22062.0,13,0,3544.1479349146725,4.902287099995245,73.52955161428368,21.56816128572108,100.0,5.0,5.0,TWN
40,Australia,1080.0,6482.0,5130.0,12692.0,7,3,8800.0,15.0,85.0,0.0,100.0,0.0,10.0,AUS
41,New Zealand,157.0,892.0,232.0,1281.0,1,1,620.0,10.0,90.0,0.0,100.0,15.0,15.0,NZL
42,India,17000.0,28000.0,41000.0,86000.0,150,0,135451.9795688395,50.0,35.0,15.0,100.0,12.0,18.0,IND
43,Japan,12930.0,7744.0,32214.0,52888.0,4,0,21784.0,14.000000000000002,16.000000000000004,70.0,100.0,10.0,10.0,JPN
44,Indonesia,3000.0,200.0,25000.0,28200.0,1,15,18000.0,5.0,14.999999999999996,80.0,100.0,11.0,11.0,IDN
45,"Korea, South",3655.0,0.0,27530.0,31185.0,0,42,18083.0,26.0,0.0,74.0,100.0,10.0,10.0,KOR
46,Malaysia,500.0,2150.0,3900.0,6550.0,6,2,7500.0,3.0,37.0,60.0,100.0,0.0,6.0,MYS
47,Philippines,1600.0,4800.0,0.0,6400.0,9,0,3300.0,3.0,97.0,0.0,100.0,12.0,12.0,PHL
