,Country,Manufacturers Shipments,SV(%),BTF(%),PAL(%),Myo_Control(%),SV,BTF,PAL,Myo_Control,Code
0,France,807.3456395348836,23.976805991785458,0.09664170089394211,74.8731577675767,1.0533945397438995,193.5756976744186,0.7802325581395863,604.4851744186045,8.504534883720929,FRA
1,Germany,413.0,25.22365145228216,2.000000000000001,72.6,0.17634854771784234,104.1736804979253,8.260000000000003,299.83799999999997,0.7283195020746888,DEU
2,Italy,322.254,44.743105200295204,0.5232731952938732,52.726541650920666,2.0070799534902526,144.1864462321593,1.686268802762318,169.9133895317579,6.467895433320479,ITA
3,Spain,220.0,30.486054615543107,0.7796545653694336,68.57815709246734,0.1561337266201363,67.06932015419484,1.7152400438127537,150.87194560342814,0.3434941985642999,ESP
4,United Kingdom,328.8546713032615,33.2,1.9999999999999913,64.2,0.6,109.17975087268283,6.577093426065201,211.1246989766939,1.9731280278195689,GBR
5,Austria,42.0,33.13,1.4999999999999938,65.0,0.37,13.9146,0.6299999999999973,27.3,0.15539999999999998,AUT
6,Belgium,45.90442521155427,35.099999999999994,1.1973236358387533,63.19267636416125,0.51,16.112453249255545,0.5496245329538629,29.008234860765935,0.2341125685789268,BEL
7,Denmark,47.583432358700584,26.700000000000003,1.3860000000000012,71.8,0.11399999999999999,12.704776439773056,0.6595063724915907,34.164904433547015,0.05424511288891866,DNK
8,Finland,46.02038519624212,25.648785304817643,3.751214695182359,70.39999999999999,0.2,11.803669795434223,1.726323452260961,32.39835117815445,0.09204077039248423,FIN
9,Ireland,14.17,35.56348538783007,7.988532942872673,55.95846764053275,0.4895140287645033,5.039345879455521,1.1319751180050577,7.929314864663492,0.06936413787593011,IRL
10,Netherlands,127.13711885848996,27.500000000000004,2.4750000000000023,69.89999999999999,0.125,34.96270768608474,3.1466436917476295,88.86884608208447,0.15892139857311244,NLD
11,Norway,40.58541830900543,36.6,1.1000000000000012,62.1,0.2,14.85426310109599,0.4464396013990603,25.203544769892375,0.08117083661801087,NOR
12,Portugal,76.0,30.262999999999995,1.9450000000000078,67.592,0.2,22.999879999999994,1.478200000000006,51.36992,0.15200000000000002,PRT
13,Sweden,75.38454336125227,26.8,1.7000000000000015,71.3,0.2,20.20305762081561,1.2815372371412896,53.74917941657287,0.15076908672250455,SWE
14,Switzerland,91.56877165628173,19.1,0.39999999999999014,79.60000000000001,0.8999999999999999,17.48963538634981,0.3662750866251179,72.88874223840027,0.8241189449065355,CHE
15,Bulgaria,5.9106248082625825,59.0,1.0000000000000009,40.0,0.0,3.4872686368749237,0.05910624808262588,2.364249923305033,0.0,BGR
16,Croatia,15.129650851986595,50.0,1.0000000000000009,49.0,0.0,7.5648254259932965,0.1512965085198661,7.413528917473432,0.0,HRV
17,Czech Republic,35.41027010160639,67.19955155712552,1.9626610460914726,30.617512319026797,0.22027507775621707,23.795542713446387,0.6949835776000041,10.84174381056,0.07799999999999997,CZE
18,Hungary,32.23214017574672,60.0,0.9800000000000009,39.0,0.02,19.339284105448034,0.31587497372231815,12.570534668541223,0.006446428035149344,HUN
19,Poland,82.65668551499745,49.4,2.0000000000000027,47.5,1.0999999999999999,40.83240264440874,1.6531337102999513,39.26192561962379,0.9092235406649718,POL
20,Romania,34.676364191854574,68.5,0.6999999999999953,30.5,0.3,23.753309471420383,0.24273454934298036,10.576291078515645,0.10402909257556373,ROU
21,Slovakia,13.925635697584806,54.37189019958629,5.65494493207358,39.97316486834013,0.0,7.571631351085203,0.7874870301396012,5.5665173163600015,0.0,SVK
22,Slovenia,11.3,50.0,1.0000000000000009,49.0,0.0,5.65,0.11300000000000011,5.537000000000001,0.0,SVN
23,Morocco,37.918626770989825,34.0,1.9999999999999907,64.0,0.0,12.89233310213654,0.758372535419793,24.26792113343349,0.0,MAR
24,Russia,54.34546553911739,72.35942291964119,0.4405770803588067,23.0,4.2,39.32406524709781,0.23943366537964483,12.499457073997,2.2825095526429307,RUS
25,Saudi Arabia,40.46530430881563,73.0,3.0000000000000027,24.0,0.0,29.53967214543541,1.21395912926447,9.711673034115751,0.0,SAU
26,South Africa,80.19232591593891,68.0,9.954249529974462,22.0,0.04575047002553314,54.53078162283846,7.982544225562936,17.64231170150656,0.03668836603094947,ZAF
27,Tunisia,17.354388882495282,66.28343161887746,1.1196687009065212,32.5,0.09689968021601345,11.503084487802832,0.19431166055090066,5.640176386810967,0.016816347330581318,TUN
28,Turkey,61.90127482831773,59.45459653187676,0.30188190404196563,38.931031487564184,1.312490076517094,36.80315319726449,0.18686874707797557,24.098804794616015,0.812448089359244,TUR
29,United Arab Emirates,35.41947617756831,60.0,1.0000000000000009,39.0,0.0,21.25168570654099,0.35419476177568343,13.813595709251642,0.0,ARE
30,Canada,200.73174463308243,28.88810842096235,4.066810850015264,61.87908106964476,5.165999659377634,57.987604024894125,8.163380370163129,124.21095899401739,10.369801244007819,CAN
31,United States,1693.2140364758113,42.0,9.000000000000007,49.0,0.0,711.1498953198408,152.38926328282315,829.6748778731475,0.0,USA
32,Brazil,256.58353215261263,30.0,0.9990000000000009,69.0,0.001,76.97505964578379,2.5632694862046024,177.0426371853027,0.0025658353215261263,BRA
33,Argentina,95.75424704537703,70.0,5.000000000000004,25.0,0.0,67.02797293176391,4.787712352268856,23.938561761344257,0.0,ARG
34,Chile,19.676304139375794,82.5,8.000000000000004,9.5,0.0,16.232950914985032,1.5741043311500642,1.8692488932407005,0.0,CHL
35,Colombia,74.98462698489209,51.970000000000006,4.079999999999995,43.9,0.04999999999999999,38.96951064404843,3.0593727809835936,32.918251246367625,0.037492313492446035,COL
36,Mexico,100.10923187587314,59.0,19.500000000000004,21.5,0.0,59.064446806765154,19.521300215795264,21.523484853312723,0.0,MEX
37,China,813.6971920927709,69.8,0.10000000000000564,8.48,21.62,567.960640080754,0.8136971920928169,69.00152188946697,175.9213329304571,CHN
38,Hong Kong,51.707858015037914,42.8,0.10000000000000703,49.1,8.0,22.130963230436226,0.05170785801504155,25.388558285383613,4.136628641203033,HKG
39,Taiwan,84.81707064338039,45.959584109698675,0.1072269623655888,51.83522033492112,2.097968593014624,38.98157292172695,0.09094676841837236,43.965115449621926,1.7794355036131473,TWN
40,Australia,292.74239602986023,46.0,5.9500000000000055,48.0,0.05,134.6615021737357,17.4181725637767,140.51635009433292,0.14637119801493012,AUS
41,New Zealand,27.137083452221827,30.0,4.799999999999994,65.0,0.2,8.141125035666548,1.302580005706646,17.639104243944185,0.05427416690444366,NZL
42,India,161.01935453547767,42.394285208988684,9.548034989469473,47.941942702276314,0.11573709926552259,68.26300440344306,15.37418431086531,77.19580669097387,0.18635913019542955,IND
43,Japan,331.2820666060762,46.7,0.5449999999999938,52.739999999999995,0.015,154.70872510503762,1.8054872630030951,174.71816192804457,0.04969230999091143,JPN
44,Indonesia,12.79979427891729,53.0,18.899999999999995,28.000000000000004,0.1,6.783890967826164,2.419161118715367,3.5839423980968417,0.012799794278917292,IDN
45,"Korea, South",185.23364627148445,53.05000000000001,0.049999999999989116,46.7,0.2,98.26644934702252,0.09261682313572207,86.50411280878325,0.3704672925429689,KOR
46,Malaysia,48.61850711713567,55.00000000000001,0.9999999999999932,40.0,4.0,26.74017891442462,0.48618507117135346,19.447402846854267,1.944740284685427,MYS
47,Philippines,39.30989801589976,55.099999999999994,3.500000000000009,41.0,0.4,21.65975380676077,1.375846430556495,16.117058186518904,0.15723959206359905,PHL
48,Singapore,41.966294078042274,42.6,0.20000000000000434,52.800000000000004,4.3999999999999995,17.87764127724601,0.08393258815608638,22.158203273206322,1.8465169394338599,SGP
49,Thailand,45.591198811948885,49.47350288451584,1.6361248726330286,48.83531440599768,0.055057836853448824,22.55556305931488,0.7459289434938695,22.26460528127872,0.025101527861414317,THA
